forcing,season,period,estimate,se,df,expand
hist-GHG,DJF,`1979--1999`,-0.00455167383175062,0.00458093625276266,34,2.03224450931772
hist-GHG,DJF,`2000--2014`,0.00788809055936297,0.00594580933583242,34,2.03224450931772
hist-GHG,JJA,`1979--1999`,0.00102950756735422,0.0031046691500543,33,2.03451529744934
hist-GHG,JJA,`2000--2014`,-0.00455501224493498,0.00434468839969687,33,2.03451529744934
hist-stratO3,DJF,`1979--1999`,0.00618603082407001,0.00763934675905455,34,2.03224450931772
hist-stratO3,DJF,`2000--2014`,0.00188254929904184,0.00991546198711117,34,2.03224450931772
hist-stratO3,JJA,`1979--1999`,-0.00378349984878748,0.00461189871662216,33,2.03451529744934
hist-stratO3,JJA,`2000--2014`,-0.000422367663196587,0.00645391244163157,33,2.03451529744934
historical,DJF,`1979--1999`,0.0523828531656635,0.00689944391093121,34,2.03224450931772
historical,DJF,`2000--2014`,0.00554241491351488,0.0089551078107509,34,2.03224450931772
historical,JJA,`1979--1999`,0.0093579622031529,0.00406646446067421,33,2.03451529744934
historical,JJA,`2000--2014`,0.0144774386051122,0.00569062921559994,33,2.03451529744934
