model,forcing,season,period,estimate,se,df,expand
CCCma.1,hist-GHG,DJF,`1979--1999`,-0.00403963661369502,0.00633996688247946,34,2.03224450931772
CCCma.1,hist-GHG,DJF,`2000--2014`,0.00741935080056795,0.00822893666245212,34,2.03224450931772
CCCma.1,hist-GHG,JJA,`1979--1999`,0.00373135513729903,0.00533114049101783,33,2.03451529744934
CCCma.1,hist-GHG,JJA,`2000--2014`,-0.00702391443738947,0.00746042271463107,33,2.03451529744934
CCCma.1,hist-stratO3,DJF,`1979--1999`,0.0198042375906356,0.0106966331968538,34,2.03224450931772
CCCma.1,hist-stratO3,DJF,`2000--2014`,0.00970981414390988,0.0138836556578303,34,2.03224450931772
CCCma.1,hist-stratO3,JJA,`1979--1999`,-0.010132058680047,0.00732843704798852,33,2.03451529744934
CCCma.1,hist-stratO3,JJA,`2000--2014`,-0.00972001761593128,0.010255448774549,33,2.03451529744934
IPSL.1,hist-GHG,DJF,`1979--1999`,-0.00986019510555344,0.00904468727700834,34,2.03224450931772
IPSL.1,hist-GHG,DJF,`2000--2014`,-0.00109173536506406,0.0117395185359518,34,2.03224450931772
IPSL.1,hist-GHG,JJA,`1979--1999`,0.0100201686003098,0.00717091426467531,33,2.03451529744934
IPSL.1,hist-GHG,JJA,`2000--2014`,-0.0074918695690281,0.0100350106614132,33,2.03451529744934
IPSL.1,hist-stratO3,DJF,`1979--1999`,0.00621037900609748,0.0108288345731909,34,2.03224450931772
IPSL.1,hist-stratO3,DJF,`2000--2014`,-0.0034685909893775,0.0140552459472959,34,2.03224450931772
IPSL.1,hist-stratO3,JJA,`1979--1999`,0.00172735234408654,0.00818128906769989,33,2.03451529744934
IPSL.1,hist-stratO3,JJA,`2000--2014`,0.00470828829875595,0.0114489338441685,33,2.03451529744934
MIROC.1,hist-GHG,DJF,`1979--1999`,0.00171731294510994,0.00359619607051535,34,2.03224450931772
MIROC.1,hist-GHG,DJF,`2000--2014`,-0.00413392780068911,0.00466766944348086,34,2.03224450931772
MIROC.1,hist-GHG,JJA,`1979--1999`,-7.52855376424136e-05,0.00326427559028084,33,2.03451529744934
MIROC.1,hist-GHG,JJA,`2000--2014`,-0.00197325027841876,0.00456804239197557,33,2.03451529744934
MIROC.1,hist-stratO3,DJF,`1979--1999`,0.0247410021003959,0.00837840892979729,34,2.03224450931772
MIROC.1,hist-stratO3,DJF,`2000--2014`,-0.00951410793320573,0.0108747250093618,34,2.03224450931772
MIROC.1,hist-stratO3,JJA,`1979--1999`,-0.0199590995288849,0.00497201888780862,33,2.03451529744934
MIROC.1,hist-stratO3,JJA,`2000--2014`,0.0160240858797838,0.00695786627845933,33,2.03451529744934
