lat,lon,month,term,estimate
-88.75,0,1,sam,-211.180309367579
-88.75,2.5,1,sam,-211.352980576629
-88.75,5,1,sam,-211.532668426512
-88.75,7.5,1,sam,-211.683108778356
-88.75,10,1,sam,-211.866489932096
-88.75,12.5,1,sam,-212.069856913161
-88.75,15,1,sam,-212.256681921565
-88.75,17.5,1,sam,-212.395424573502
-88.75,20,1,sam,-212.523182039736
-88.75,22.5,1,sam,-212.653993899736
-88.75,25,1,sam,-212.752643820372
-88.75,27.5,1,sam,-212.704446449751
-88.75,30,1,sam,-212.664145240878
-88.75,32.5,1,sam,-212.68183671266
-88.75,35,1,sam,-212.569363576084
-88.75,37.5,1,sam,-212.43739601091
-88.75,40,1,sam,-212.328400624704
-88.75,42.5,1,sam,-212.251483604405
-88.75,45,1,sam,-212.159097136942
-88.75,47.5,1,sam,-212.065489449681
-88.75,50,1,sam,-211.825320412907
-88.75,52.5,1,sam,-211.754949495159
-88.75,55,1,sam,-211.69523654413
-88.75,57.5,1,sam,-211.274866895629
-88.75,60,1,sam,-211.057933161053
-88.75,62.5,1,sam,-210.86099780971
-88.75,65,1,sam,-210.528253255489
-88.75,67.5,1,sam,-210.196571586886
-88.75,70,1,sam,-209.956739237397
-88.75,72.5,1,sam,-209.742752590964
-88.75,75,1,sam,-209.633391025815
-88.75,77.5,1,sam,-209.524763951053
-88.75,80,1,sam,-209.365835917796
-88.75,82.5,1,sam,-209.38658706737
-88.75,85,1,sam,-209.420759918885
-88.75,87.5,1,sam,-209.51769756293
-88.75,90,1,sam,-209.677515067249
-88.75,92.5,1,sam,-209.815418460722
-88.75,95,1,sam,-209.983101509232
-88.75,97.5,1,sam,-210.298022050295
-88.75,100,1,sam,-210.477677750848
-88.75,102.5,1,sam,-210.663673762511
-88.75,105,1,sam,-210.949362567107
-88.75,107.5,1,sam,-211.125667887307
-88.75,110,1,sam,-211.302054167439
-88.75,112.5,1,sam,-211.493193635496
-88.75,115,1,sam,-211.765022501253
-88.75,117.5,1,sam,-212.066591875823
-88.75,120,1,sam,-212.38796570587
-88.75,122.5,1,sam,-212.863159243335
-88.75,125,1,sam,-213.478698894507
-88.75,127.5,1,sam,-214.081762924331
